timestamp,temperature,voltage,pressure
2025-04-26 07:40:33,91.09,28.0,0.64
2025-04-26 07:40:34,66.22,28.0,1.38
2025-04-26 07:40:35,-30.87,28.0,0.42
2025-04-26 07:40:36,66.92,28.0,1.66
2025-04-26 07:40:37,91.96,28.0,1.78
2025-04-26 07:40:38,17.43,28.0,1.46
2025-04-26 07:40:39,26.57,28.0,1.27
2025-04-26 07:40:40,41.03,28.0,0.85
2025-04-26 07:40:41,27.72,28.0,1.45
2025-04-26 07:40:42,-6.11,28.0,1.6
2025-04-26 07:40:43,108.91,28.0,0.31
2025-04-26 07:40:44,-40.02,28.0,1.71
2025-04-26 07:40:45,57.73,28.0,0.56
2025-04-26 07:40:46,73.9,28.0,1.77
2025-04-26 07:40:47,-42.49,28.0,1.58
2025-04-26 07:40:48,-52.49,28.0,0.74
2025-04-26 07:40:49,1.11,28.0,0.8
2025-04-26 07:40:50,-7.15,28.0,1.36
2025-04-26 07:40:51,-16.11,28.0,1.32
2025-04-26 07:40:52,38.52,28.0,1.11
2025-04-26 07:40:53,-33.47,28.0,0.95
2025-04-26 07:40:54,52.35,28.0,0.98
2025-04-26 07:40:55,99.34,28.0,0.76
2025-04-26 07:40:56,113.51,28.0,0.46
2025-04-26 07:40:57,-31.06,28.0,0.47
2025-04-26 07:40:58,64.91,28.0,0.39
2025-04-26 07:40:59,-59.59,28.0,1.16
2025-04-26 07:41:00,43.38,28.0,1.88
2025-04-26 07:41:01,45.17,28.0,1.21
2025-04-26 07:41:02,-27.47,28.0,1.38
2025-04-26 07:41:03,-40.39,28.0,1.85
2025-04-26 07:41:04,-3.4,28.0,0.67
2025-04-26 07:41:05,-29.23,28.0,1.97
2025-04-26 07:41:06,70.14,28.0,0.95
2025-04-26 07:41:07,102.34,28.0,1.89
2025-04-26 07:41:08,103.21,28.0,1.52
2025-04-26 07:41:09,29.93,28.0,1.35
2025-04-26 07:41:10,51.57,28.0,0.53
2025-04-26 07:41:11,31.12,28.0,1.87
